기준일ID,시간대구분,자치구코드,총생활인구수
20240605,00,11110,204218.2552
20240605,00,11140,175229.3425
20240605,00,11170,240917.2619
20240605,00,11200,324656.1812
20240605,00,11215,369527.6706
20240605,00,11230,354393.1101
20240605,00,11260,365058.744
20240605,00,11290,443865.1304
20240605,00,11305,288690.2014
20240605,00,11320,273070.5583
20240605,00,11350,506172.7886
20240605,00,11380,458503.2352
20240605,00,11410,351494.8191
20240605,00,11440,413013.1354
20240605,00,11470,384378.5634
20240605,00,11500,545606.8376
20240605,00,11530,390198.8944
20240605,00,11545,203802.3626
20240605,00,11560,421026.8664
20240605,00,11590,398734.5405
20240605,00,11620,498819.0356
20240605,00,11650,470744.9035
20240605,00,11680,686500.5848
20240605,00,11710,722637.4629
20240605,00,11740,528493.8419
20240605,01,11110,201934.4977
20240605,01,11140,171818.3414
20240605,01,11170,235950.6183
20240605,01,11200,324682.7095
20240605,01,11215,368260.5619
20240605,01,11230,355470.1316
20240605,01,11260,366130.2043
20240605,01,11290,444264.1769
20240605,01,11305,289365.9406
20240605,01,11320,274111.3523
20240605,01,11350,506608.8179
20240605,01,11380,459580.3449
20240605,01,11410,350560.8763
20240605,01,11440,408214.5753
20240605,01,11470,385433.1727
20240605,01,11500,545125.0938
20240605,01,11530,390130.2868
20240605,01,11545,203929.2015
20240605,01,11560,421091.1467
20240605,01,11590,400998.4757
20240605,01,11620,499643.653
20240605,01,11650,469071.6351
20240605,01,11680,686320.0092
20240605,01,11710,717775.3383
20240605,01,11740,533705.9202
20240605,02,11110,200640.4804
20240605,02,11140,172586.7322
20240605,02,11170,236973.8624
20240605,02,11200,317772.1293
20240605,02,11215,368500.3716
20240605,02,11230,356027.4332
20240605,02,11260,366967.444
20240605,02,11290,444634.3482
20240605,02,11305,289562.2034
20240605,02,11320,274697.2715
20240605,02,11350,506756.2881
20240605,02,11380,460150.1747
20240605,02,11410,350540.4739
20240605,02,11440,407021.7419
20240605,02,11470,385750.8106
20240605,02,11500,545697.9647
20240605,02,11530,389888.1989
20240605,02,11545,204106.7011
20240605,02,11560,419175.33
20240605,02,11590,401183.9632
20240605,02,11620,500459.7121
20240605,02,11650,467431.5334
20240605,02,11680,683579.1888
20240605,02,11710,717604.1796
20240605,02,11740,533469.7869
20240605,03,11110,200137.5522
20240605,03,11140,170676.1995
20240605,03,11170,236200.8895
20240605,03,11200,319283.7133
20240605,03,11215,368452.9552
20240605,03,11230,356248.8195
20240605,03,11260,367330.4491
20240605,03,11290,445248.1799
20240605,03,11305,289620.2728
20240605,03,11320,274832.6661
20240605,03,11350,506987.0888
20240605,03,11380,460644.6743
20240605,03,11410,350523.3039
20240605,03,11440,406138.6852
20240605,03,11470,386330.614
20240605,03,11500,545511.1392
20240605,03,11530,389718.0309
20240605,03,11545,204434.8486
20240605,03,11560,418561.8916
20240605,03,11590,401301.993
20240605,03,11620,500894.3096
20240605,03,11650,466685.4728
20240605,03,11680,680536.4408
20240605,03,11710,717681.2616
20240605,03,11740,533621.5875
20240605,04,11110,201753.0765
20240605,04,11140,169739.6753
20240605,04,11170,237658.8302
20240605,04,11200,320251.5013
20240605,04,11215,368219.9491
20240605,04,11230,357592.9156
20240605,04,11260,366434.0608
20240605,04,11290,445573.0125
20240605,04,11305,288475.7064
20240605,04,11320,273732.7572
20240605,04,11350,505168.7945
20240605,04,11380,458721.6344
20240605,04,11410,350724.8281
20240605,04,11440,405987.7517
20240605,04,11470,386075.0808
20240605,04,11500,547462.7347
20240605,04,11530,389798.6688
20240605,04,11545,204003.8554
20240605,04,11560,420209.0716
20240605,04,11590,400301.9535
20240605,04,11620,499265.1241
20240605,04,11650,469011.99
20240605,04,11680,681784.542
20240605,04,11710,717018.743
20240605,04,11740,533173.9885
20240605,05,11110,205700.1
20240605,05,11140,172367.5849
20240605,05,11170,243332.3867
20240605,05,11200,325085.1822
20240605,05,11215,368096.401
20240605,05,11230,358174.8599
20240605,05,11260,362113.4188
20240605,05,11290,444136.1308
20240605,05,11305,284649.2806
20240605,05,11320,271843.5476
20240605,05,11350,501588.8806
20240605,05,11380,454345.5762
20240605,05,11410,349965.2254
20240605,05,11440,409754.5695
20240605,05,11470,384194.1832
20240605,05,11500,550840.9299
20240605,05,11530,385839.7096
20240605,05,11545,202218.2458
20240605,05,11560,422648.207
20240605,05,11590,400762.6129
